机场,CHINESENAME,ENGLISH,CHCOUNTRY,ENGCOUNTRY,城 市
AAE,安纳巴,ANNABA,阿尔及利亚,ALGERIA,AAE
AAN,艾恩,AL AIN,阿联酋,UAE,AAN
AAT,阿勒泰,ALTAY,中国,CHINA,AAT
ABA,阿巴干,ABAKAN,俄罗斯,RUSSIAN,ABA
ABD,阿巴丹,ABADAN,伊朗,IRAN,ABD
ABE,阿伦镇,ALLENTOWN/BETHLEHEM,美国,USA,ABE
ABI,阿比林,ABILENE,美国,USA,ABI
ABJ,阿比让,ABIDJAN,象牙海岸,COTE D&RSQUO;LVIRE,ABJ
ABQ,阿布奎基,ALBUQUERQUE,美国,USA,ABQ
ABR,阿伯丁,ABERDEEN,美国,USA,ABR
ABV,*,ABUJA,尼日利亚,NIGERIA,ABV
ABX,阿尔伯里,ALBURY,澳洲,AUSTRALIA,ABX
ABY,阿尔班尼,ALBANY,美国,USA,ABY
ABZ,阿伯丁,ABERDEEN,英国,UK,ABZ
ACA,阿卡普尔科,ACAPULCO,墨西哥,MEXICO,ACA
ACC,阿克拉,ACCRA,加纳,GHANA,ACC
ACT,瓦科,WACO,美国,USA,ACT
ACV,-,ARCATA,-,-,ACV
ACY,大西洋城,ATLANTIC CITY,美国,USA,AIY
ADA,阿达纳,ADANA,土耳其,TURKEY,ADA
ADB,伊士麦,IZMIR,土耳其,TURKEY,ADB
ADE,亚丁,ADEN,也门,YEMEN,ADE
ADJ,安曼,AMMAN,约旦,JORDAN,AMM
ADL,阿德雷德,ADELAIDE,澳洲,AUSTRALIA,ADL
ADQ,科迪亚克,KODIAK,美国,USA,ADQ
ADU,阿尔德比勒,ARDABIL,伊朗,IRAN,ADU
ADZ,圣安德烈斯,SAN ANDRES ISLAND,哥伦比亚,COLOMBIA,ADZ
AEH,阿贝歇,ABECHER,乍得,CHAD,AEH
AEP,布宜诺斯,BUENOS AIRES,阿根廷,ARGENTINA,BUE
AEY,阿库雷里,AKUREYRI,冰岛,ICELAND,AEY
AGA,阿加迪尔,AGADIR,摩洛哥,MOROCCO,AGA
AGB,慕尼克,MUNCHEN,德国,GERMANY,AGB
AGF,阿让,AGEN,法国,FRANCE,AGF
AGP,马拉加,MALAGA,西班牙,SPAIN,AGP
AGR,阿格拉,AGRA,印度,INDIA,AGR
AGS,奥古斯达,AUGUSTA,美国,USA,AGS
AGV,阿卡里奎,ACARIGUA,委内瑞拉,VENEZUELA,AGV
AHB,阿卜哈,ABHA,沙地亚拉伯,SAUDI ARABIA,AHB
AIA,阿尔林斯,ALLIANCE,美国,USA,AIA
AIN,维恩赖特,WAINWRIGHT,美国,USA,AIN
AIY,大西洋城,ATLANTIC CITY,美国,USA,AIY
AJA,阿雅克修,AJACCIO,法国,FRANCE,AJA
